SubjectAssgn,GenID,ExpAssgn,Vowel,Item,ItemType,RespNum,RespNum2,absRT,logAbsRT
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,503.38,2.701895956
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,600.21,2.778303227
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,468.38,2.670598342
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,627.89,2.797883566
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,375.31,2.574390136
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,653.42,2.815192423
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,594.94,2.774473169
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,632.84,2.801293922
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,493.05,2.692890963
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,513.36,2.710422026
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,731.58,2.864261824
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,426.08,2.629491149
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,939,2.972665592
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,473.14,2.674989666
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,572.56,2.757821004
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,512.24,2.709473489
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,414.68,2.61771309
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,426.17,2.629582875
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,467.45,2.669735164
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,394.33,2.595859819
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,1,100,1104.19,3.04304381
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,868.22,2.938629786
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,324.65,2.511415407
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,272.24,2.434951936
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,471.82,2.673776346
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,429.54,2.633003613
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,631.88,2.800634609
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,518.96,2.715133885
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,550.36,2.740646862
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,392.26,2.593574024
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,0,0,656.95,2.817532317
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,1,100,721.79,2.858410861
a-i-subject-1,Subject1,a-i,a,a-4-2,diff,1,100,796.77,2.901332974
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,920.31,2.963934141
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,451.11,2.654282454
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,894.87,2.951759949
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,689.58,2.838584657
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,451.52,2.654676992
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,522.73,2.718277425
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,762.84,2.882433457
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,409.73,2.612497764
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,569.32,2.755356441
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,499,2.698100546
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,342.4,2.534533756
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,727.32,2.86172553
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,576.97,2.761153232
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,661.64,2.820621753
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,502.22,2.700894004
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,591.99,2.772314371
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,438.29,2.641761562
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,407.51,2.61013827
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,433.5,2.636989102
a-i-subject-1,Subject1,a-i,a,a-4-4,same,1,100,492.76,2.692635447
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,1184.97,3.073707355
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,489.53,2.689779312
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,495.53,2.695069952
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,553.31,2.742968519
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,511.8,2.709100282
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,446.81,2.650122884
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,577.11,2.7612586
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,625.86,2.796477196
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,460.73,2.663446492
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,772.6,2.887954704
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,365.21,2.562542661
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,1069.04,3.028993955
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,412.98,2.61592902
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,919.19,2.963405291
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,429.99,2.633458356
