Subject,Hem,Harm,Cond,Area,LinPwr,dBPwr
r1540,1-lh,1-Fm,2-Zero,1-AntTem,1.22E+14,140.8689347
r1540,1-lh,1-Fm,2-Zero,2-PosTem,1.70E+18,182.3136763
r1540,1-lh,1-Fm,2-Zero,3-Occ,8.28E+16,169.177785
r1540,1-lh,1-Fm,3-HalfPi,1-AntTem,3.23E+14,145.0979373
r1540,1-lh,1-Fm,3-HalfPi,2-PosTem,3.77E+17,175.768134
r1540,1-lh,1-Fm,3-HalfPi,3-Occ,4.29E+16,166.3230541
r1540,1-lh,1-Fm,4-Pi,1-AntTem,1.34E+14,141.2868999
r1540,1-lh,1-Fm,4-Pi,2-PosTem,2.38E+17,173.764127
r1540,1-lh,1-Fm,4-Pi,3-Occ,1.07E+16,160.300327
r1540,1-lh,2-SecondHarm,1-Uni,1-AntTem,6.28E+14,147.9780748
r1540,1-lh,2-SecondHarm,1-Uni,2-PosTem,1.49E+15,151.7242778
r1540,1-lh,2-SecondHarm,1-Uni,3-Occ,9.73E+16,169.8804142
r1540,1-lh,2-SecondHarm,2-Zero,1-AntTem,1.42E+13,131.5146179
r1540,1-lh,2-SecondHarm,2-Zero,2-PosTem,4.42E+17,176.4495038
r1540,1-lh,2-SecondHarm,2-Zero,3-Occ,2.67E+17,174.2569721
r1540,1-lh,2-SecondHarm,3-HalfPi,1-AntTem,3.78E+13,135.7743435
r1540,1-lh,2-SecondHarm,3-HalfPi,2-PosTem,4.95E+17,176.9447357
r1540,1-lh,2-SecondHarm,3-HalfPi,3-Occ,8.56E+16,169.3230123
r1540,1-lh,2-SecondHarm,4-Pi,1-AntTem,1.10E+15,150.3961238
r1540,1-lh,2-SecondHarm,4-Pi,2-PosTem,4.37E+17,176.4038204
r1540,1-lh,2-SecondHarm,4-Pi,3-Occ,7.07E+16,168.4927811
r1540,2-rh,1-Fm,1-Uni,1-AntTem,5.38E+13,137.3056427
r1540,2-rh,1-Fm,1-Uni,2-PosTem,9.35E+15,159.707187
r1540,2-rh,1-Fm,1-Uni,3-Occ,3.06E+17,174.8628876
r1540,2-rh,1-Fm,2-Zero,1-AntTem,6.88E+14,148.3770205
r1540,2-rh,1-Fm,2-Zero,2-PosTem,2.59E+17,174.1336683
r1540,2-rh,1-Fm,2-Zero,3-Occ,4.80E+17,176.8162108
r1540,2-rh,1-Fm,3-HalfPi,1-AntTem,2.22E+14,143.4666587
r1540,2-rh,1-Fm,3-HalfPi,2-PosTem,3.36E+17,175.2672687
r1540,2-rh,1-Fm,3-HalfPi,3-Occ,9.44E+17,179.7513758
r1540,2-rh,1-Fm,4-Pi,1-AntTem,8.21E+14,149.1417914
r1540,2-rh,1-Fm,4-Pi,2-PosTem,9.51E+16,169.7809831
r1540,2-rh,1-Fm,4-Pi,3-Occ,2.87E+17,174.5745799
r1540,2-rh,2-SecondHarm,1-Uni,1-AntTem,1.74E+15,152.3982482
r1540,2-rh,2-SecondHarm,1-Uni,2-PosTem,3.10E+15,154.9067469
r1540,2-rh,2-SecondHarm,1-Uni,3-Occ,1.19E+17,170.7565643
r1540,2-rh,2-SecondHarm,2-Zero,1-AntTem,2.22E+13,133.4690039
r1540,2-rh,2-SecondHarm,2-Zero,2-PosTem,2.58E+17,174.1197306
r1540,2-rh,2-SecondHarm,2-Zero,3-Occ,1.66E+17,172.19139
r1540,2-rh,2-SecondHarm,3-HalfPi,1-AntTem,3.94E+14,145.957056
r1540,2-rh,2-SecondHarm,3-HalfPi,2-PosTem,2.01E+17,173.0235258
r1540,2-rh,2-SecondHarm,3-HalfPi,3-Occ,1.09E+17,170.3889821
r1540,2-rh,2-SecondHarm,4-Pi,1-AntTem,4.29E+15,156.322649
r1540,2-rh,2-SecondHarm,4-Pi,2-PosTem,1.45E+17,171.6133805
r1540,2-rh,2-SecondHarm,4-Pi,3-Occ,2.02E+17,173.0436125
r1542,1-lh,1-Fm,1-Uni,1-AntTem,4.89E+14,146.8916674
r1542,1-lh,1-Fm,1-Uni,2-PosTem,4.44E+16,166.4691321
r1542,1-lh,1-Fm,1-Uni,3-Occ,4.34E+16,166.3708927
r1542,1-lh,1-Fm,2-Zero,1-AntTem,6.03E+14,147.801084
r1542,1-lh,1-Fm,2-Zero,2-PosTem,1.18E+16,160.7055502
r1542,1-lh,1-Fm,2-Zero,3-Occ,4.23E+16,166.2640197
r1542,1-lh,1-Fm,3-HalfPi,1-AntTem,4.51E+15,156.5404171
r1542,1-lh,1-Fm,3-HalfPi,2-PosTem,1.06E+17,170.2534683
r1542,1-lh,1-Fm,3-HalfPi,3-Occ,1.84E+17,172.6441639
r1542,1-lh,1-Fm,4-Pi,1-AntTem,1.10E+15,150.4296907
r1542,1-lh,1-Fm,4-Pi,2-PosTem,2.08E+17,173.1766644
r1542,1-lh,1-Fm,4-Pi,3-Occ,1.88E+16,162.7468884
r1542,1-lh,2-SecondHarm,1-Uni,1-AntTem,2.44E+13,133.8760336
r1542,1-lh,2-SecondHarm,1-Uni,2-PosTem,3.62E+14,145.5864858
r1542,1-lh,2-SecondHarm,1-Uni,3-Occ,5.77E+16,167.6131127
r1542,1-lh,2-SecondHarm,2-Zero,1-AntTem,2.01E+12,123.0343367
r1542,1-lh,2-SecondHarm,2-Zero,2-PosTem,1.26E+16,161.001292
r1542,1-lh,2-SecondHarm,2-Zero,3-Occ,6.22E+16,167.9358785
r1542,1-lh,2-SecondHarm,3-HalfPi,1-AntTem,1.02E+15,150.0680821
r1542,1-lh,2-SecondHarm,3-HalfPi,2-PosTem,7.38E+15,158.6813874
r1542,1-lh,2-SecondHarm,3-HalfPi,3-Occ,9.83E+16,169.923856
r1542,1-lh,2-SecondHarm,4-Pi,1-AntTem,1.61E+14,142.0612396
r1542,1-lh,2-SecondHarm,4-Pi,2-PosTem,4.94E+15,156.9379727
r1542,1-lh,2-SecondHarm,4-Pi,3-Occ,1.30E+16,161.1293998
r1542,2-rh,1-Fm,1-Uni,1-AntTem,2.19E+15,153.4006717
r1542,2-rh,1-Fm,1-Uni,2-PosTem,6.20E+15,157.9229361
r1542,2-rh,1-Fm,1-Uni,3-Occ,2.30E+17,173.6133113
r1542,2-rh,1-Fm,2-Zero,1-AntTem,9.79E+15,159.9063628
r1542,2-rh,1-Fm,2-Zero,2-PosTem,1.16E+18,180.6554237
r1542,2-rh,1-Fm,2-Zero,3-Occ,4.86E+16,166.8666308
r1542,2-rh,1-Fm,3-HalfPi,1-AntTem,1.95E+16,162.8952206
r1542,2-rh,1-Fm,3-HalfPi,2-PosTem,4.92E+17,176.9200041
r1542,2-rh,1-Fm,3-HalfPi,3-Occ,1.19E+17,170.7638554
r1542,2-rh,1-Fm,4-Pi,1-AntTem,2.63E+16,164.1995575
r1542,2-rh,1-Fm,4-Pi,2-PosTem,2.56E+17,174.078496
r1542,2-rh,1-Fm,4-Pi,3-Occ,4.96E+16,166.9559549
r1542,2-rh,2-SecondHarm,1-Uni,1-AntTem,5.82E+14,147.6457959
r1542,2-rh,2-SecondHarm,1-Uni,2-PosTem,1.09E+15,150.3558982
r1542,2-rh,2-SecondHarm,1-Uni,3-Occ,7.42E+16,168.7039805
r1542,2-rh,2-SecondHarm,2-Zero,1-AntTem,2.96E+14,144.7113029
r1542,2-rh,2-SecondHarm,2-Zero,2-PosTem,9.92E+16,169.9631024
r1542,2-rh,2-SecondHarm,2-Zero,3-Occ,6.50E+16,168.1297349
r1542,2-rh,2-SecondHarm,3-HalfPi,1-AntTem,1.32E+13,131.1958577
r1542,2-rh,2-SecondHarm,3-HalfPi,2-PosTem,3.42E+16,165.3351786
r1542,2-rh,2-SecondHarm,3-HalfPi,3-Occ,5.40E+16,167.3221679
r1542,2-rh,2-SecondHarm,4-Pi,1-AntTem,7.23E+13,138.5896406
r1542,2-rh,2-SecondHarm,4-Pi,2-PosTem,1.85E+16,162.674768
r1542,2-rh,2-SecondHarm,4-Pi,3-Occ,8.23E+16,169.1523094
r1547,1-lh,1-Fm,1-Uni,1-AntTem,1.85E+16,139.5338272
r1547,1-lh,1-Fm,1-Uni,2-PosTem,2.80E+16,146.2661749
r1547,1-lh,1-Fm,1-Uni,3-Occ,3.63E+16,163.1447818
r1547,1-lh,1-Fm,2-Zero,1-AntTem,1.44E+16,152.9976871
r1547,1-lh,1-Fm,2-Zero,2-PosTem,2.07E+16,154.6038661
r1547,1-lh,1-Fm,2-Zero,3-Occ,1.55E+16,153.2188828
r1547,1-lh,1-Fm,3-HalfPi,1-AntTem,6.41E+14,153.6528202
r1547,1-lh,1-Fm,3-HalfPi,2-PosTem,7.85E+15,160.3558982
r1547,1-lh,1-Fm,3-HalfPi,3-Occ,2.34E+15,162.2680605
r1547,1-lh,1-Fm,4-Pi,1-AntTem,8.54E+15,149.1306113
r1547,1-lh,1-Fm,4-Pi,2-PosTem,7.12E+15,164.8225885
r1547,1-lh,1-Fm,4-Pi,3-Occ,9.48E+14,162.4254143
r1547,1-lh,2-SecondHarm,1-Uni,1-AntTem,8.98E+13,139.5338272
r1547,1-lh,2-SecondHarm,1-Uni,2-PosTem,4.23E+14,146.2661749
r1547,1-lh,2-SecondHarm,1-Uni,3-Occ,2.06E+16,163.1447818
r1547,1-lh,2-SecondHarm,2-Zero,1-AntTem,1.99E+15,152.9976871
r1547,1-lh,2-SecondHarm,2-Zero,2-PosTem,2.89E+15,154.6038661
r1547,1-lh,2-SecondHarm,2-Zero,3-Occ,2.10E+15,153.2188828
r1547,1-lh,2-SecondHarm,3-HalfPi,1-AntTem,2.32E+15,153.6528202
r1547,1-lh,2-SecondHarm,3-HalfPi,2-PosTem,1.09E+16,160.3558982
r1547,1-lh,2-SecondHarm,3-HalfPi,3-Occ,1.69E+16,162.2680605
r1547,1-lh,2-SecondHarm,4-Pi,1-AntTem,8.19E+14,149.1306113
r1547,1-lh,2-SecondHarm,4-Pi,2-PosTem,3.04E+16,164.8225885
r1547,1-lh,2-SecondHarm,4-Pi,3-Occ,1.75E+16,162.4254143
r1547,2-rh,1-Fm,1-Uni,1-AntTem,2.98E+14,144.7444938
r1547,2-rh,1-Fm,1-Uni,2-PosTem,3.02E+15,154.8069666
r1547,2-rh,1-Fm,1-Uni,3-Occ,2.28E+15,153.5728673
r1547,2-rh,1-Fm,2-Zero,1-AntTem,4.41E+14,146.4464535
r1547,2-rh,1-Fm,2-Zero,2-PosTem,1.37E+15,151.3687904
r1547,2-rh,1-Fm,2-Zero,3-Occ,5.74E+15,157.5894216
r1547,2-rh,1-Fm,3-HalfPi,1-AntTem,7.38E+12,128.6829169
r1547,2-rh,1-Fm,3-HalfPi,2-PosTem,7.88E+15,158.9653173
r1547,2-rh,1-Fm,3-HalfPi,3-Occ,4.45E+15,156.4806713
r1547,2-rh,1-Fm,4-Pi,1-AntTem,4.49E+14,146.5260408
r1547,2-rh,1-Fm,4-Pi,2-PosTem,4.16E+15,156.1933338
r1547,2-rh,1-Fm,4-Pi,3-Occ,3.17E+14,145.0063435
r1547,2-rh,2-SecondHarm,1-Uni,1-AntTem,2.98E+14,144.7444938
r1547,2-rh,2-SecondHarm,1-Uni,2-PosTem,3.02E+15,154.8069666
r1547,2-rh,2-SecondHarm,1-Uni,3-Occ,2.28E+15,153.5728673
r1547,2-rh,2-SecondHarm,2-Zero,1-AntTem,4.41E+14,146.4464535
r1547,2-rh,2-SecondHarm,2-Zero,2-PosTem,1.37E+15,151.3687904
r1547,2-rh,2-SecondHarm,2-Zero,3-Occ,5.74E+15,157.5894216
r1547,2-rh,2-SecondHarm,3-HalfPi,1-AntTem,7.38E+12,128.6829169
r1547,2-rh,2-SecondHarm,3-HalfPi,2-PosTem,7.88E+15,158.9653173
r1547,2-rh,2-SecondHarm,3-HalfPi,3-Occ,4.45E+15,156.4806713
r1547,2-rh,2-SecondHarm,4-Pi,1-AntTem,4.49E+14,146.5260408
r1547,2-rh,2-SecondHarm,4-Pi,2-PosTem,4.16E+15,156.1933338
r1547,2-rh,2-SecondHarm,4-Pi,3-Occ,3.17E+14,145.0063435
r1548,1-lh,1-Fm,1-Uni,1-AntTem,3.45E+16,165.3766801
r1548,1-lh,1-Fm,1-Uni,2-PosTem,3.22E+15,155.0772098
r1548,1-lh,1-Fm,1-Uni,3-Occ,9.56E+16,169.8032159
r1548,1-lh,1-Fm,2-Zero,1-AntTem,1.60E+17,172.0520436
r1548,1-lh,1-Fm,2-Zero,2-PosTem,1.10E+17,170.4289039
r1548,1-lh,1-Fm,2-Zero,3-Occ,1.25E+17,170.9860912
r1548,1-lh,1-Fm,3-HalfPi,1-AntTem,9.64E+15,159.8399143
r1548,1-lh,1-Fm,3-HalfPi,2-PosTem,4.37E+16,166.4015336
r1548,1-lh,1-Fm,3-HalfPi,3-Occ,1.03E+17,170.1186636
r1548,1-lh,1-Fm,4-Pi,1-AntTem,8.62E+15,159.3535609
r1548,1-lh,1-Fm,4-Pi,2-PosTem,5.97E+15,157.7576332
r1548,1-lh,1-Fm,4-Pi,3-Occ,6.83E+16,168.3457964
r1548,1-lh,2-SecondHarm,1-Uni,1-AntTem,8.96E+15,159.5237102
r1548,1-lh,2-SecondHarm,1-Uni,2-PosTem,5.68E+15,157.5434834
r1548,1-lh,2-SecondHarm,1-Uni,3-Occ,1.46E+15,151.6447182
r1548,1-lh,2-SecondHarm,2-Zero,1-AntTem,2.21E+15,153.4531491
r1548,1-lh,2-SecondHarm,2-Zero,2-PosTem,1.61E+15,152.0714945
r1548,1-lh,2-SecondHarm,2-Zero,3-Occ,5.89E+15,157.7046171
r1548,1-lh,2-SecondHarm,3-HalfPi,1-AntTem,1.31E+15,151.1740388
r1548,1-lh,2-SecondHarm,3-HalfPi,2-PosTem,8.55E+14,149.3175781
r1548,1-lh,2-SecondHarm,3-HalfPi,3-Occ,2.22E+14,143.470762
r1548,1-lh,2-SecondHarm,4-Pi,1-AntTem,1.30E+15,151.1551066
r1548,1-lh,2-SecondHarm,4-Pi,2-PosTem,3.81E+15,155.8117568
r1548,1-lh,2-SecondHarm,4-Pi,3-Occ,1.31E+16,161.1657454
r1548,2-rh,1-Fm,1-Uni,1-AntTem,1.06E+17,170.2714567
r1548,2-rh,1-Fm,1-Uni,2-PosTem,1.90E+15,152.7850209
r1548,2-rh,1-Fm,1-Uni,3-Occ,2.68E+16,164.2743742
r1548,2-rh,1-Fm,2-Zero,1-AntTem,9.19E+17,179.6316899
r1548,2-rh,1-Fm,2-Zero,2-PosTem,2.06E+16,163.1443607
r1548,2-rh,1-Fm,2-Zero,3-Occ,1.65E+17,172.1671997
r1548,2-rh,1-Fm,3-HalfPi,1-AntTem,2.69E+16,164.3036535
r1548,2-rh,1-Fm,3-HalfPi,2-PosTem,7.49E+16,168.7435424
r1548,2-rh,1-Fm,3-HalfPi,3-Occ,6.10E+16,167.8522303
r1548,2-rh,1-Fm,4-Pi,1-AntTem,7.50E+15,158.7528125
r1548,2-rh,1-Fm,4-Pi,2-PosTem,1.25E+16,160.9777773
r1548,2-rh,1-Fm,4-Pi,3-Occ,1.24E+16,160.9359677
r1548,2-rh,2-SecondHarm,1-Uni,1-AntTem,7.56E+15,158.7879171
r1548,2-rh,2-SecondHarm,1-Uni,2-PosTem,6.03E+13,137.801156
r1548,2-rh,2-SecondHarm,1-Uni,3-Occ,5.20E+15,157.1605345
r1548,2-rh,2-SecondHarm,2-Zero,1-AntTem,1.14E+15,150.5518714
r1548,2-rh,2-SecondHarm,2-Zero,2-PosTem,5.73E+15,157.5830618
r1548,2-rh,2-SecondHarm,2-Zero,3-Occ,1.98E+16,162.9727891
r1548,2-rh,2-SecondHarm,3-HalfPi,1-AntTem,4.93E+13,136.9309351
r1548,2-rh,2-SecondHarm,3-HalfPi,2-PosTem,1.88E+16,162.7480419
r1548,2-rh,2-SecondHarm,3-HalfPi,3-Occ,9.30E+14,149.6847828
r1548,2-rh,2-SecondHarm,4-Pi,1-AntTem,1.11E+16,160.4711904
r1548,2-rh,2-SecondHarm,4-Pi,2-PosTem,4.02E+16,166.0370718
r1548,2-rh,2-SecondHarm,4-Pi,3-Occ,5.04E+15,157.0273203
r1549,1-lh,1-Fm,1-Uni,1-AntTem,1.13E+14,140.5426824
r1549,1-lh,1-Fm,1-Uni,2-PosTem,4.31E+15,156.3442689
r1549,1-lh,1-Fm,1-Uni,3-Occ,2.34E+16,163.6945707
r1549,1-lh,1-Fm,2-Zero,1-AntTem,2.16E+14,143.350766
r1549,1-lh,1-Fm,2-Zero,2-PosTem,1.66E+16,162.1989874
